ProperCase_num;quartier;lon;lat
0;Ealing;-0.33149;51.52185
1;Southwark;-0.07590;51.47614
2;Hounslow;-0.38041;51.46631
3;Sutton;-0.17351;51.36256
4;Tower Hamlets;-0.02912;51.51881
5;Waltham Forest;-0.01682;51.59250
6;Brent;-0.26542;51.55664
7;Lambeth;-0.12026;51.45249
8;Croydon;-0.07210;51.35305
9;Hillingdon;-0.45002;51.53301
10;Barking And dagenham;0.13425;51.54383
11;Merton;-0.19909;51.40933
12;Westminster;-0.15633;51.51412
13;Lewisham;-0.01939;51.44754
14;Hammersmith And fulham;-0.21815;51.49005
15;Kingston Upon thames;-0.28544;51.38392
16;Newham;0.03273;51.52798
17;Havering;0.23106;51.55733
18;Hackney;-0.05330;51.55199
19;Greenwich;0.05093;51.46778
20;Harrow;-0.33698;51.59997
21;Barnet;-0.20501;51.61755
22;Enfield;-0.08265;51.64894
23;Haringey;-0.10550;51.59165
24;Kensington And chelsea;-0.19374;51.49811
25;Redbridge;0.07427;51.58563
26;Camden;-0.15255;51.54611
27;Bromley;0.06258;51.37447
28;City Of london;-0.09238;51.51455
29;Bexley;0.13714;51.45557
30;Richmond Upon thames;-0.34928;51.42919
31;Islington;-0.10876;51.54862
32;Wandsworth;-0.18466;51.45339
